@relation compact_wind_onshore

@attribute date numeric
@attribute hour numeric
@attribute dayiness numeric
@attribute mean_TU_0 numeric
@attribute mean_TU_1 numeric
@attribute mean_N_0 numeric
@attribute mean_RR_0 numeric
@attribute mean_RR_1 numeric
@attribute mean_SD_0 numeric
@attribute mean_VV_0 numeric
@attribute mean_FF_0 numeric
@attribute mean_FF_1 numeric
@attribute wind_onshore numeric

@data
20220105,1,-0.97,3.042675,90.961783,6.596154,0.30828,0.694268,0,28694.230769,4.409091,240.774194,18086
20220105,2,-0.87,2.798089,90.840764,6.371795,0.333758,0.694268,0,28856.217949,4.664935,239.415584,20715.5
20220105,3,-0.71,2.521656,90.656051,6.217949,0.347771,0.66879,0,29396.858974,4.95974,238.831169,23282.75
20220105,4,-0.5,2.24586,90.152866,6.262821,0.381529,0.66879,0,28895,5.133117,240.12987,24882.75
20220105,5,-0.26,2.010828,89.273885,6.435897,0.333121,0.681529,0,31430.833333,5.332468,246.623377,26743
20220105,6,-0,1.797452,88.490446,6.455128,0.243312,0.643312,0,31504.74359,5.440909,251.038961,29332.5
20220105,7,0.26,1.601911,87.770701,6.339744,0.191083,0.630573,0,31909.807692,5.637013,251.623377,31102.25
20220105,8,0.5,1.478981,86.375796,6.264516,0.171338,0.598726,0.006369,31790.576923,5.867742,253.225806,32465
20220105,9,0.71,1.518471,85.210191,6.354839,0.129299,0.598726,6.55414,33457.371795,6.137419,254.064516,33421.75
20220105,10,0.87,1.757962,82.872611,6.309677,0.112739,0.56051,11.89172,36239.487179,6.583871,251.794872,34773.75
20220105,11,0.97,1.889809,81.216561,6.570513,0.161146,0.566879,11.121019,37191.410256,6.982692,254.487179,35746
20220105,12,1,2.080255,79.808917,6.741935,0.124204,0.471338,10.273885,37890.128205,7.262179,253.782051,36695
20220105,13,0.97,2.161783,79.420382,6.807692,0.087261,0.522293,8.515924,38566.923077,7.33141,255.705128,37387
20220105,14,0.87,2.196815,79.598726,7.032051,0.079618,0.515924,6.197452,39888.653846,7.258333,252.5,37622
